"route","audience_intent","cta_copy","position","target","solution","funnel_stage","target_type","resolved_url","strength"
"/briefs/generative-media-operating-system/thanks/","Declared page intent; confirm against editorial brief.","Compare the eight briefs Return to the decision library ↗","confirmation-link","briefs/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/","strong"
"/briefs/generative-media-operating-system/thanks/","Declared page intent; confirm against editorial brief.","Creative Direction Creative authority is unclear ↗","confirmation-link","services/creative-direction/","Specific service solution","early-stage","internal","https://hardmagic.com/services/creative-direction/","strong"
"/briefs/generative-media-operating-system/thanks/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/generative-media-operating-system/thanks/","Declared page intent; confirm against editorial brief.","Explore GenAI Strategy GenAI transformation and media operations ↗","confirmation-link","services/genai-strategy/","Specific service solution","early-stage","internal","https://hardmagic.com/services/genai-strategy/","strong"
"/briefs/generative-media-operating-system/thanks/","Declared page intent; confirm against editorial brief.","GPU Router Inference cost is material ↗","confirmation-link","products/gpu-router/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/gpu-router/","strong"
"/briefs/generative-media-operating-system/thanks/","Declared page intent; confirm against editorial brief.","HardMagic Studio Multimodal production workflow is the primary need ↗","confirmation-link","products/studio/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/studio/","strong"
"/briefs/generative-media-operating-system/thanks/","Declared page intent; confirm against editorial brief.","Bring this to a working session ↗","button","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/briefs/generative-media-operating-system/thanks/","Declared page intent; confirm against editorial brief.","Return to the public summary ↗","confirmation-summary-link","briefs/generative-media-operating-system/","BriefLock private delivery","utility-action","internal","https://hardmagic.com/briefs/generative-media-operating-system/","strong"
"/briefs/hybrid-ai-media-infrastructure/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/hybrid-ai-media-infrastructure/","Declared page intent; confirm against editorial brief.","Deliver my private edition","form","https://briefs.hardmagic.com/api/brief-request","BriefLock private delivery","primary","application","https://briefs.hardmagic.com/api/brief-request","strong"
"/briefs/hybrid-ai-media-infrastructure/","Declared page intent; confirm against editorial brief.","Request the brief","button dark-button","briefs/hybrid-ai-media-infrastructure/#request","BriefLock private delivery","primary","internal","https://hardmagic.com/briefs/hybrid-ai-media-infrastructure/#request","strong"
"/briefs/hybrid-ai-media-infrastructure/thanks/","Declared page intent; confirm against editorial brief.","Compare the eight briefs Return to the decision library ↗","confirmation-link","briefs/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/","strong"
"/briefs/hybrid-ai-media-infrastructure/thanks/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/hybrid-ai-media-infrastructure/thanks/","Declared page intent; confirm against editorial brief.","Explore GPU Router GPU Router and AI infrastructure ↗","confirmation-link","products/gpu-router/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/gpu-router/","strong"
"/briefs/hybrid-ai-media-infrastructure/thanks/","Declared page intent; confirm against editorial brief.","GenAI Strategy Portfolio and operating-model decisions precede infrastructure selection ↗","confirmation-link","services/genai-strategy/","Specific service solution","early-stage","internal","https://hardmagic.com/services/genai-strategy/","strong"
"/briefs/hybrid-ai-media-infrastructure/thanks/","Declared page intent; confirm against editorial brief.","HardMagic Studio Production workflow adoption is the primary need ↗","confirmation-link","products/studio/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/studio/","strong"
"/briefs/hybrid-ai-media-infrastructure/thanks/","Declared page intent; confirm against editorial brief.","Security Architecture Sensitive-data boundaries dominate the decision ↗","confirmation-link","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/hybrid-ai-media-infrastructure/thanks/","Declared page intent; confirm against editorial brief.","Bring this to a working session ↗","button","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/briefs/hybrid-ai-media-infrastructure/thanks/","Declared page intent; confirm against editorial brief.","Return to the public summary ↗","confirmation-summary-link","briefs/hybrid-ai-media-infrastructure/","BriefLock private delivery","utility-action","internal","https://hardmagic.com/briefs/hybrid-ai-media-infrastructure/","strong"
"/briefs/intelligent-media-asset-estate/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/intelligent-media-asset-estate/","Declared page intent; confirm against editorial brief.","Deliver my private edition","form","https://briefs.hardmagic.com/api/brief-request","BriefLock private delivery","primary","application","https://briefs.hardmagic.com/api/brief-request","strong"
"/briefs/intelligent-media-asset-estate/","Declared page intent; confirm against editorial brief.","Request the brief","button dark-button","briefs/intelligent-media-asset-estate/#request","BriefLock private delivery","primary","internal","https://hardmagic.com/briefs/intelligent-media-asset-estate/#request","strong"
"/briefs/intelligent-media-asset-estate/thanks/","Declared page intent; confirm against editorial brief.","Compare the eight briefs Return to the decision library ↗","confirmation-link","briefs/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/","strong"
"/briefs/intelligent-media-asset-estate/thanks/","Declared page intent; confirm against editorial brief.","Creative Direction Editorial selection systems are the primary need ↗","confirmation-link","services/creative-direction/","Specific service solution","early-stage","internal","https://hardmagic.com/services/creative-direction/","strong"
"/briefs/intelligent-media-asset-estate/thanks/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/intelligent-media-asset-estate/thanks/","Declared page intent; confirm against editorial brief.","Explore Media Management Media Management and Photo Curator ↗","confirmation-link","services/media-management/","Specific service solution","early-stage","internal","https://hardmagic.com/services/media-management/","strong"
"/briefs/intelligent-media-asset-estate/thanks/","Declared page intent; confirm against editorial brief.","HardMagic Studio Generated media must flow into governed libraries ↗","confirmation-link","products/studio/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/studio/","strong"
"/briefs/intelligent-media-asset-estate/thanks/","Declared page intent; confirm against editorial brief.","Privacy & Provenance Authenticity and lineage are the primary concerns ↗","confirmation-link","products/wiremark/privacy-provenance/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/wiremark/privacy-provenance/","strong"
"/briefs/intelligent-media-asset-estate/thanks/","Declared page intent; confirm against editorial brief.","Bring this to a working session ↗","button","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/briefs/intelligent-media-asset-estate/thanks/","Declared page intent; confirm against editorial brief.","Return to the public summary ↗","confirmation-summary-link","briefs/intelligent-media-asset-estate/","BriefLock private delivery","utility-action","internal","https://hardmagic.com/briefs/intelligent-media-asset-estate/","strong"
"/briefs/modern-media-agency-transformation-playbook/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/modern-media-agency-transformation-playbook/","Declared page intent; confirm against editorial brief.","Deliver my private edition","form","https://briefs.hardmagic.com/api/brief-request","BriefLock private delivery","primary","application","https://briefs.hardmagic.com/api/brief-request","strong"
"/briefs/modern-media-agency-transformation-playbook/","Declared page intent; confirm against editorial brief.","Request the brief","button dark-button","briefs/modern-media-agency-transformation-playbook/#request","BriefLock private delivery","primary","internal","https://hardmagic.com/briefs/modern-media-agency-transformation-playbook/#request","strong"
"/briefs/modern-media-agency-transformation-playbook/thanks/","Declared page intent; confirm against editorial brief.","Compare the eight briefs Return to the decision library ↗","confirmation-link","briefs/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/","strong"
"/briefs/modern-media-agency-transformation-playbook/thanks/","Declared page intent; confirm against editorial brief.","Creative Director Brand reinvention or campaign leadership is primary ↗","confirmation-link","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/modern-media-agency-transformation-playbook/thanks/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/modern-media-agency-transformation-playbook/thanks/","Declared page intent; confirm against editorial brief.","Explore Media Management Executive media transformation intake ↗","confirmation-link","services/media-management/","Specific service solution","early-stage","internal","https://hardmagic.com/services/media-management/","strong"
"/briefs/modern-media-agency-transformation-playbook/thanks/","Declared page intent; confirm against editorial brief.","GenAI Strategy Tool fragmentation, workflow redesign, or governance dominates ↗","confirmation-link","services/genai-strategy/","Specific service solution","early-stage","internal","https://hardmagic.com/services/genai-strategy/","strong"
"/briefs/modern-media-agency-transformation-playbook/thanks/","Declared page intent; confirm against editorial brief.","Marketing Consulting Positioning, portfolio, go-to-market, or channel strategy dominates ↗","confirmation-link","services/marketing-consulting/","Specific service solution","early-stage","internal","https://hardmagic.com/services/marketing-consulting/","strong"
"/briefs/modern-media-agency-transformation-playbook/thanks/","Declared page intent; confirm against editorial brief.","Bring this to a working session ↗","button","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/briefs/modern-media-agency-transformation-playbook/thanks/","Declared page intent; confirm against editorial brief.","Return to the public summary ↗","confirmation-summary-link","briefs/modern-media-agency-transformation-playbook/","BriefLock private delivery","utility-action","internal","https://hardmagic.com/briefs/modern-media-agency-transformation-playbook/","strong"
"/briefs/provenance-ready-content-supply-chain/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/provenance-ready-content-supply-chain/","Declared page intent; confirm against editorial brief.","Deliver my private edition","form","https://briefs.hardmagic.com/api/brief-request","BriefLock private delivery","primary","application","https://briefs.hardmagic.com/api/brief-request","strong"
"/briefs/provenance-ready-content-supply-chain/","Declared page intent; confirm against editorial brief.","Request the brief","button dark-button","briefs/provenance-ready-content-supply-chain/#request","BriefLock private delivery","primary","internal","https://hardmagic.com/briefs/provenance-ready-content-supply-chain/#request","strong"
"/briefs/provenance-ready-content-supply-chain/thanks/","Declared page intent; confirm against editorial brief.","Compare the eight briefs Return to the decision library ↗","confirmation-link","briefs/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/","strong"
"/briefs/provenance-ready-content-supply-chain/thanks/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/provenance-ready-content-supply-chain/thanks/","Declared page intent; confirm against editorial brief.","Explore Privacy & Provenance Media governance and provenance architecture ↗","confirmation-link","products/wiremark/privacy-provenance/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/wiremark/privacy-provenance/","strong"
"/briefs/provenance-ready-content-supply-chain/thanks/","Declared page intent; confirm against editorial brief.","GenAI Strategy Generated-content policy is the primary decision ↗","confirmation-link","services/genai-strategy/","Specific service solution","early-stage","internal","https://hardmagic.com/services/genai-strategy/","strong"
"/briefs/provenance-ready-content-supply-chain/thanks/","Declared page intent; confirm against editorial brief.","GPU Router Signing, key custody, or private workflow boundaries dominate ↗","confirmation-link","products/gpu-router/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/gpu-router/","strong"
"/briefs/provenance-ready-content-supply-chain/thanks/","Declared page intent; confirm against editorial brief.","Media Management Metadata or catalog remediation is the primary need ↗","confirmation-link","services/media-management/","Specific service solution","early-stage","internal","https://hardmagic.com/services/media-management/","strong"
"/briefs/provenance-ready-content-supply-chain/thanks/","Declared page intent; confirm against editorial brief.","Bring this to a working session ↗","button","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/briefs/provenance-ready-content-supply-chain/thanks/","Declared page intent; confirm against editorial brief.","Return to the public summary ↗","confirmation-summary-link","briefs/provenance-ready-content-supply-chain/","BriefLock private delivery","utility-action","internal","https://hardmagic.com/briefs/provenance-ready-content-supply-chain/","strong"
"/briefs/visual-product-development-field-guide/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/visual-product-development-field-guide/","Declared page intent; confirm against editorial brief.","Deliver my private edition","form","https://briefs.hardmagic.com/api/brief-request","BriefLock private delivery","primary","application","https://briefs.hardmagic.com/api/brief-request","strong"
"/briefs/visual-product-development-field-guide/","Declared page intent; confirm against editorial brief.","Request the brief","button dark-button","briefs/visual-product-development-field-guide/#request","BriefLock private delivery","primary","internal","https://hardmagic.com/briefs/visual-product-development-field-guide/#request","strong"
"/briefs/visual-product-development-field-guide/thanks/","Declared page intent; confirm against editorial brief.","Compare the eight briefs Return to the decision library ↗","confirmation-link","briefs/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/","strong"
"/briefs/visual-product-development-field-guide/thanks/","Declared page intent; confirm against editorial brief.","Creative Direction The underlying experience intent is unresolved ↗","confirmation-link","services/creative-direction/","Specific service solution","early-stage","internal","https://hardmagic.com/services/creative-direction/","strong"
"/briefs/visual-product-development-field-guide/thanks/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/visual-product-development-field-guide/thanks/","Declared page intent; confirm against editorial brief.","Explore WireMark WireMark product evaluation ↗","confirmation-link","products/wiremark/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/wiremark/","strong"
"/briefs/visual-product-development-field-guide/thanks/","Declared page intent; confirm against editorial brief.","Product and design consulting The review workflow itself needs redesign ↗","confirmation-link","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/briefs/visual-product-development-field-guide/thanks/","Declared page intent; confirm against editorial brief.","Web Magic The scope is primarily a website ↗","confirmation-link","products/web-magic/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/web-magic/","strong"
"/briefs/visual-product-development-field-guide/thanks/","Declared page intent; confirm against editorial brief.","Bring this to a working session ↗","button","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/briefs/visual-product-development-field-guide/thanks/","Declared page intent; confirm against editorial brief.","Return to the public summary ↗","confirmation-summary-link","briefs/visual-product-development-field-guide/","BriefLock private delivery","utility-action","internal","https://hardmagic.com/briefs/visual-product-development-field-guide/","strong"
"/company/","Declared page intent; confirm against editorial brief.","Choose an executive brief →","text-link","briefs/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/","strong"
"/company/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
